NAME,LONGITUDE,LATITUDE,NEIGHBORHOOD_NAME,COUNTY_NAME
Oklalı Köyü Park,28.4777541267706,41.2210086983325,OKLALI,ÇATALCA
Güvercin-3 Parkı,29.0203828554589,41.0786321500617,LEVENT,BEŞİKTAŞ
Çalıkuşu Parkı,29.0178804634946,41.0760037791944,LEVENT,BEŞİKTAŞ
Çınar Cad. Parkı,28.8128653206669,41.0155021575987,YENİBOSNA MERKEZ,BAHÇELİEVLER
Aziziye Parkı,29.0586154763225,41.0289415793985,BURHANİYE,ÜSKÜDAR
İzzetbey Parkı,29.080397342559,41.0215056252968,BULGURLU,ÜSKÜDAR
Mimoza Parkı,29.0760020664754,41.0151165400297,BULGURLU,ÜSKÜDAR
Erdem Parkı,29.0492502165467,41.0099033443942,ACIBADEM,ÜSKÜDAR
Toygar Hamza Parkı,29.0214892776865,41.0236241072775,MİMAR SİNAN,ÜSKÜDAR
Park,29.0100701361005,41.0221414845988,AZİZ MAHMUT HÜDAYİ,ÜSKÜDAR
Coşkun Okul Parkı,29.0631652374122,41.0268603537316,KISIKLI,ÜSKÜDAR
Aydos Parkı,29.2559327526868,40.9162487418534,ERTUĞRUL GAZİ,PENDİK
Kazlıçeşme Sahil Parkı,28.9117712458425,40.9865659844052,KAZLIÇEŞME,ZEYTİNBURNU
Seyit Nizam Parkı,28.9089918072154,41.0053403994071,SEYİTNİZAM,ZEYTİNBURNU
H. Cevher  Karaer- H. Sezer Şehitler Parkı,28.9295468724683,41.0086350661627,SEYYİD ÖMER,FATİH
Meyveci Parkı,28.9287534343404,41.0045689639641,SİLİVRİKAPI,FATİH
Kırım Parkı,28.924427018119,41.0164988987549,MEVLANAKAPI,FATİH
Seyid Ömer Havuzlu (1737 Ada) Park,28.9339433228727,41.0081960256902,SEYYİD ÖMER,FATİH
Kocamustafapaşa Parkı,28.9301107976028,41.0038716227124,SİLİVRİKAPI,FATİH
Özkaymaz Parkı,28.8975070883823,41.0614607788359,YILDIRIM,BAYRAMPAŞA
Perşembe Pazarı Parkı,28.9710186782551,41.022129052206,ARAP CAMİ,BEYOĞLU
Dereiçi Parkı,28.9517155061691,41.0541086761649,ÖRNEKTEPE,BEYOĞLU
Yeşil Alan,28.8436938100304,41.0168154196957,KOCASİNAN MERKEZ,BAHÇELİEVLER
Karaca Sok. Çocuk Parkı,28.8995382781233,41.0591504066193,KARTALTEPE,BAYRAMPAŞA
Pirimehmetpaşa Parkı,28.947569630849,41.0432506083553,PİRİPAŞA,BEYOĞLU
Şehit Er Ramazan Paşa Göncü Parkı,28.8415658946207,40.9898495270761,ATAKÖY 7-8-9-10. KISIM,BAKIRKÖY
Kadı Mehmet Parkı,28.9628680883841,41.0343110990878,KADIMEHMET EFENDİ,BEYOĞLU
Ağaçlaraltı Parkı,28.9638249906955,41.0449233312036,KAPTANPAŞA,BEYOĞLU
Örnektepe Parkı,28.9550475647157,41.0539666222089,ÖRNEKTEPE,BEYOĞLU
