PLAY_DATE,PLAY_NAME,THEATER_NAME,PLAY_CATEGORY,IS_GUEST_PLAY,PLAY_TYPE,LONGITUDE,LATITUDE,NUMBER_OF_AUDIENCE
2020-10-30,ANGİNA PEKTORİS / KÜÇÜK SALON," KÜÇÜK SALON",Yetişkin,0,Yerli,29.023408,40.99177,2
2018-12-13,ON İKİ ÖFKELİ ADAM,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.0159,18
2018-12-27,NORA - BİR BEBEK EVİ,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.0159,62
2020-01-23,HİSSE-İ ŞAYİA (BİR EVLİLİK KOMEDİSİ),Sultangazi Hoca Ahmet Yesevi Sahnesi,Yetişkin,0,Yerli,28.8765777,41.09774468,13
2017-11-05,POLLYANNA,Kağıthane Sadabad Sahnesi,Çocuk,0,Yabancı,28.970972,41.079366,46
2018-02-17,KAHVEDE ŞENLİK VAR,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.0159,85
2017-11-26,ŞAHANE ZÜĞÜRTLER,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yabancı,28.916482,41.057846,41
2019-04-03,GEÇ KALANLAR,Üsküdar Kerem Yılmazer Sahnesi,Yetişkin,0,Yerli,29.023817,41.017064,19
2018-01-22,KOMİK-İ ŞEHİR NAŞİT BEY,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.0129,41.019561,11
2018-10-05,MACBETH,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yabancı,28.970972,41.079366,92
2019-12-24,YAŞASIN BARIŞ,Sultangazi Hoca Ahmet Yesevi Sahnesi,Çocuk,0,Yerli,28.8765777,41.09774468,2
2019-03-11,SON,Üsküdar Kerem Yılmazer Sahnesi,Yetişkin,0,Yerli,29.023817,41.017064,36
