institution_id,district_tr,district_eng,institution_name,latitude,longitude,neighborhood_tr,neighborhood_eng,institution_type_tr,institution_type_eng,care_type
2728,Ümrani̇ye,Umraniye,Ağa Parkı,41.0116749035781,29.128791547128,ÇAKMAK,CAKMAK,Park,Park,genellestirilmis
2729,Çekmeköy,Cekmekoy,Selahaddin Eyyubi Parkı,41.0246721510504,29.220590176098,GÜNGÖREN,GUNGOREN,Park,Park,genellestirilmis
2730,Çekmeköy,Cekmekoy,Kardelen Parkı,41.0257412558208,29.2217646996648,GÜNGÖREN,GUNGOREN,Park,Park,genellestirilmis
2731,Çekmeköy,Cekmekoy,Şehit Komando Çavuş İbrahim Doğan Parkı,41.0309324525171,29.2438329647332,EKŞİOĞLU,EKSIOGLU,Park,Park,genellestirilmis
2732,Kartal,Kartal,Özgürlük Parkı,40.8863831058327,29.1824273508232,KORDONBOYU,KORDONBOYU,Park,Park,genellestirilmis
2733,Gazi̇osmanpaşa,Gaziosmanpasa,Hamidiye Cad. Parkı,41.0763048986915,28.8811384838163,KARADENİZ,KARADENIZ,Park,Park,genellestirilmis
2734,Gazi̇osmanpaşa,Gaziosmanpasa,Şehit Recep Bodur Parkı,41.0851331468651,28.91784411442,MEVLANA,MEVLANA,Park,Park,genellestirilmis
2735,Sultangazi̇,Sultangazi,Ozan Kıvıcık Ali Parkı,41.1051472156508,28.8972718780034,GAZİ,GAZI,Park,Park,genellestirilmis
2736,Sultangazi̇,Sultangazi,Sultan Çiftliği Parkı,41.0995313543666,28.861828510805,SULTANÇİFTLİĞİ,SULTANCIFTLIGI,Park,Park,genellestirilmis
2737,Sultangazi̇,Sultangazi,Mavi Marmara Parkı,41.0958813760861,28.8796677016052,ESENTEPE,ESENTEPE,Park,Park,genellestirilmis
2738,Ümrani̇ye,Umraniye,İkbal-1 Parkı,41.0101916760549,29.128055867612,ÇAMLIK,CAMLIK,Park,Park,genellestirilmis
2739,Sultangazi̇,Sultangazi,Avizeciler Parkı,41.094302588381,28.8796602276701,ESENTEPE,ESENTEPE,Park,Park,genellestirilmis
2740,Ümrani̇ye,Umraniye,Kocatepe Parkı,41.0519957852046,29.1184756173322,İNKILAP,INKILAP,Park,Park,genellestirilmis
2741,Eyüpsultan,Eyupsultan,Özden Sok. Parkı,41.0803714289075,28.9170160655494,YEŞİLPINAR,YESILPINAR,Park,Park,genellestirilmis
2742,Kartal,Kartal,Şehit Erdal Engin Parkı,40.9179508435605,29.1991158848242,SOĞANLIK YENİ,SOGANLIK YENI,Park,Park,genellestirilmis
2743,Eyüpsultan,Eyupsultan,Çamlık-1 Parkı,41.1769283261877,28.8926568835645,GÖKTÜRK MERKEZ,GOKTURK MERKEZ,Park,Park,genellestirilmis
2744,Si̇li̇vri̇,Silivri,Gazanfer Pala Parkı,41.0471082414533,28.0408817652099,GÜMÜŞYAKA,GUMUSYAKA,Park,Park,genellestirilmis
